id,kw_currency_code
base.UAH,980
base.AED,784
base.AFN,971
base.ALL,8
base.AMD,51
base.ANG,532
base.AOA,973
base.ARS,32
base.AUD,36
base.AWG,533
base.AZN,944
base.BAM,977
base.BBD,52
base.BDT,50
base.BGN,975
base.BHD,48
base.BIF,108
base.BMD,60
base.BND,96
base.BOB,68
base.BRL,986
base.BSD,44
base.BTN,64
base.BWP,72
base.BYR,974
base.BZD,84
base.CAD,124
base.CDF,976
base.CHF,756
base.CLF,990
base.CLP,152
base.CNY,156
base.COP,170
base.COU,970
base.CRC,188
base.CUC,931
base.CUP,192
base.CVE,132
base.CZK,203
base.DJF,262
base.DKK,208
base.DOP,214
base.DZD,12
base.EGP,818
base.ERN,232
base.ETB,230
base.EUR,978
base.FJD,242
base.FKP,238
base.GBP,826
base.GEL,981
base.GHS,936
base.GIP,292
base.GMD,270
base.GNF,324
base.GTQ,320
base.GYD,328
base.HKD,344
base.HNL,340
base.HRK,191
base.HTG,332
base.HUF,348
base.IDR,360
base.ILS,376
base.INR,356
base.IQD,368
base.IRR,364
base.ISK,352
base.JMD,388
base.JOD,400
base.JPY,392
base.KES,404
base.KGS,417
base.KHR,116
base.KMF,174
base.KPW,408
base.KRW,410
base.KWD,414
base.KYD,136
base.KZT,398
base.LAK,418
base.LBP,422
base.LKR,144
base.LRD,430
base.LSL,426
base.LYD,434
base.MAD,504
base.MDL,498
base.MGA,969
base.MKD,807
base.MMK,104
base.MNT,496
base.MOP,446
base.MRO,478
base.MUR,480
base.MVR,462
base.MWK,454
base.MXN,484
base.MYR,458
base.MZN,943
base.NAD,516
base.NGN,566
base.NIO,558
base.NOK,578
base.NPR,524
base.NZD,554
base.OMR,512
base.PAB,590
base.PEN,604
base.PGK,598
base.PHP,608
base.PKR,586
base.PLN,985
base.PYG,600
base.QAR,634
base.RON,946
base.RSD,941
base.RUB,643
base.RWF,646
base.SAR,682
base.SBD,90
base.SCR,690
base.SDG,938
base.SEK,752
base.SGD,702
base.SHP,654
base.SLL,694
base.SOS,706
base.SRD,968
base.SSP,728
base.STD,678
base.SVC,222
base.SYP,760
base.SZL,748
base.THB,764
base.TJS,972
base.TMT,934
base.TND,788
base.TOP,776
base.TRY,949
base.TTD,780
base.TWD,901
base.TZS,834
base.UGX,800
base.USD,840
base.UYI,940
base.UYU,858
base.UZS,860
base.VEF,937
base.VND,704
base.VUV,548
base.WST,882
base.XAF,950
base.XCD,951
base.XOF,952
base.XPF,953
base.YER,886
base.ZAR,710
base.ZMW,967
base.ZWL,932
